               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.025152,            0.017733,           0.0013046,             0.97312,                   1,               0.995,             0.84914,            0.017426,           0.0052636,          0.00016864,            0.003862,            0.003862,            0.003862
                  64,            0.023345,            0.017277,            0.001131,             0.97643,                   1,               0.995,             0.82288,            0.020036,           0.0057357,          0.00019124,            0.003763,            0.003763,            0.003763
                  65,            0.024427,              0.0178,           0.0011885,             0.97819,                   1,               0.995,             0.83578,            0.015969,           0.0057991,          0.00018108,            0.003664,            0.003664,            0.003664
                  66,            0.023608,            0.018073,            0.001214,             0.97513,                   1,               0.995,             0.87232,            0.017042,           0.0048338,          0.00016428,            0.003565,            0.003565,            0.003565
                  67,            0.023635,            0.017788,           0.0011373,              0.9783,                   1,               0.995,             0.82591,            0.016326,           0.0044861,          0.00015349,            0.003466,            0.003466,            0.003466
                  68,            0.024423,            0.017219,           0.0012577,              0.9802,                   1,               0.995,             0.81278,            0.016182,           0.0053121,          0.00015501,            0.003367,            0.003367,            0.003367
                  69,            0.023573,            0.017095,           0.0011514,             0.98107,                   1,               0.995,             0.82794,            0.012235,           0.0054674,          0.00016283,            0.003268,            0.003268,            0.003268
                  70,            0.023418,            0.017035,           0.0010552,              0.9775,                   1,               0.995,             0.88627,            0.011184,           0.0050362,          0.00014596,            0.003169,            0.003169,            0.003169
                  71,            0.022989,            0.016889,           0.0011915,             0.97744,                   1,               0.995,             0.83631,            0.014646,           0.0046749,          0.00012965,             0.00307,             0.00307,             0.00307
                  72,            0.023078,            0.017228,           0.0012418,             0.97357,                   1,               0.995,             0.83631,            0.015212,            0.004666,          0.00013113,            0.002971,            0.002971,            0.002971
                  73,             0.02298,              0.0164,           0.0012201,             0.97401,                   1,               0.995,              0.8142,             0.01473,           0.0048869,          0.00013079,            0.002872,            0.002872,            0.002872
                  74,            0.023059,            0.016926,          0.00097414,             0.97806,                   1,               0.995,             0.87232,            0.015442,           0.0049766,          0.00012882,            0.002773,            0.002773,            0.002773
                  75,             0.02171,             0.01579,           0.0010624,             0.97784,                   1,               0.995,              0.8105,            0.015006,           0.0045505,          0.00011801,            0.002674,            0.002674,            0.002674
                  76,            0.022346,            0.017043,          0.00094803,             0.97679,                   1,               0.995,              0.8955,            0.012956,           0.0046073,          9.6422e-05,            0.002575,            0.002575,            0.002575
                  77,            0.022483,            0.016717,          0.00081656,             0.97746,                   1,               0.995,             0.86161,             0.01406,            0.004685,          9.7544e-05,            0.002476,            0.002476,            0.002476
                  78,            0.021646,            0.016487,          0.00085539,             0.97099,                   1,               0.995,             0.82617,            0.014147,           0.0043209,          9.0877e-05,            0.002377,            0.002377,            0.002377
                  79,            0.022108,            0.016169,           0.0012546,             0.97846,                   1,               0.995,             0.84964,            0.016572,           0.0044311,          9.0009e-05,            0.002278,            0.002278,            0.002278
                  80,            0.021563,            0.016062,          0.00079514,             0.97869,                   1,               0.995,             0.89908,            0.013062,           0.0046698,          8.8371e-05,            0.002179,            0.002179,            0.002179
                  81,            0.022252,            0.015518,          0.00093114,             0.97134,                   1,               0.995,             0.84975,            0.016775,            0.005162,          9.3471e-05,             0.00208,             0.00208,             0.00208
                  82,            0.021749,            0.016036,          0.00082738,             0.97722,                   1,               0.995,             0.83614,            0.014141,           0.0052613,          9.6575e-05,            0.001981,            0.001981,            0.001981
                  83,            0.021996,            0.015123,          0.00084577,             0.97827,                   1,               0.995,             0.84575,            0.014613,           0.0050739,          8.2645e-05,            0.001882,            0.001882,            0.001882
                  84,            0.021189,            0.016251,           0.0007593,             0.97635,                   1,               0.995,             0.84575,            0.013842,           0.0049033,          7.9579e-05,            0.001783,            0.001783,            0.001783
                  85,             0.02182,            0.016772,           0.0011919,             0.97607,                   1,               0.995,             0.82528,            0.014457,           0.0054424,          8.6632e-05,            0.001684,            0.001684,            0.001684
                  86,            0.020839,            0.015976,          0.00080542,              0.9736,                   1,               0.995,             0.84575,            0.014088,           0.0050895,          8.2277e-05,            0.001585,            0.001585,            0.001585
                  87,            0.020815,            0.015599,          0.00087787,             0.97132,                   1,               0.995,             0.87209,            0.013318,           0.0051148,          7.3064e-05,            0.001486,            0.001486,            0.001486
                  88,            0.021016,            0.016227,           0.0011175,             0.97164,                   1,               0.995,             0.82574,            0.014944,           0.0049731,          6.9148e-05,            0.001387,            0.001387,            0.001387
                  89,            0.021168,            0.016724,           0.0010137,             0.97437,                   1,               0.995,              0.8142,             0.01592,           0.0051257,          6.6647e-05,            0.001288,            0.001288,            0.001288
                  90,            0.020647,            0.015595,          0.00075446,             0.97579,                   1,               0.995,             0.87192,            0.016151,           0.0051042,          7.0859e-05,            0.001189,            0.001189,            0.001189
                  91,            0.020021,            0.015968,          0.00091296,             0.97509,                   1,               0.995,             0.84833,             0.01499,           0.0052065,          7.3303e-05,             0.00109,             0.00109,             0.00109
                  92,            0.020547,             0.01569,          0.00076922,             0.97376,                   1,               0.995,             0.84975,            0.015666,           0.0051757,          7.4166e-05,            0.000991,            0.000991,            0.000991
                  93,             0.02056,            0.015827,          0.00097406,             0.97466,                   1,               0.995,             0.87232,            0.014753,           0.0052273,          7.6162e-05,            0.000892,            0.000892,            0.000892
                  94,            0.020201,            0.015657,          0.00070801,             0.97635,                   1,               0.995,             0.84904,            0.015414,           0.0049981,          7.5521e-05,            0.000793,            0.000793,            0.000793
                  95,            0.019946,            0.015939,          0.00090116,             0.97572,                   1,               0.995,             0.84975,            0.014631,           0.0048733,          6.9798e-05,            0.000694,            0.000694,            0.000694
                  96,            0.019707,            0.014973,          0.00086153,             0.97582,                   1,               0.995,             0.87694,            0.013102,            0.004983,          6.8931e-05,            0.000595,            0.000595,            0.000595
                  97,            0.020913,            0.015544,          0.00083134,             0.97756,                   1,               0.995,              0.8506,            0.014294,           0.0051558,          7.0978e-05,            0.000496,            0.000496,            0.000496
                  98,            0.019915,            0.015464,          0.00097643,             0.97725,                   1,               0.995,             0.82702,            0.014669,            0.005278,           7.023e-05,            0.000397,            0.000397,            0.000397
                  99,            0.020428,            0.015095,          0.00088698,              0.9773,                   1,               0.995,             0.82702,            0.014061,           0.0050085,          6.7221e-05,            0.000298,            0.000298,            0.000298
